DATE,CPATAX
2013-01-01,1622.754
2013-04-01,1643.068
2013-07-01,1646.395
2013-10-01,1679.998
2014-01-01,1563.708
2014-04-01,1712.454
2014-07-01,1793.119
2014-10-01,1783.305
2015-01-01,1706.902
2015-04-01,1689.152
2015-07-01,1675.564
2015-10-01,1585.203
2016-01-01,1664.907
2016-04-01,1624.245
2016-07-01,1649.948
2016-10-01,1707.035
2017-01-01,1791.42
2017-04-01,1803.738
2017-07-01,1845.108
2017-10-01,1884.593
2018-01-01,1968.334
2018-04-01,1972.682
2018-07-01,2028.383
2018-10-01,2087.605
2019-01-01,2050.963
2019-04-01,2115.309
2019-07-01,2129.992
2019-10-01,2122.67
2020-01-01,1965.922
2020-04-01,1746.054
2020-07-01,2154.305
2020-10-01,2018.472
2021-01-01,2237.374
2021-04-01,2401.68
2021-07-01,2456.406
2021-10-01,2435.93
2022-01-01,2374.566
2022-04-01,2522.604
2022-07-01,2517.368
