DATE,CUSR0000SAS2RS
2013-01-01,271.027
2013-02-01,271.592
2013-03-01,272.070
2013-04-01,272.591
2013-05-01,273.230
2013-06-01,273.762
2013-07-01,274.239
2013-08-01,274.880
2013-09-01,275.375
2013-10-01,275.745
2013-11-01,276.622
2013-12-01,277.385
2014-01-01,278.028
2014-02-01,278.582
2014-03-01,279.463
2014-04-01,280.105
2014-05-01,280.898
2014-06-01,281.426
2014-07-01,282.194
2014-08-01,282.766
2014-09-01,283.405
2014-10-01,284.018
2014-11-01,284.786
2014-12-01,285.343
2015-01-01,286.126
2015-02-01,286.858
2015-03-01,287.736
2015-04-01,288.466
2015-05-01,288.988
2015-06-01,289.874
2015-07-01,290.992
2015-08-01,291.553
2015-09-01,292.435
2015-10-01,293.112
2015-11-01,293.884
2015-12-01,294.565
2016-01-01,295.491
2016-02-01,296.335
2016-03-01,297.025
2016-04-01,297.786
2016-05-01,298.818
2016-06-01,299.913
2016-07-01,300.625
2016-08-01,301.505
2016-09-01,302.542
2016-10-01,303.551
2016-11-01,304.464
2016-12-01,305.333
2017-01-01,306.105
2017-02-01,306.937
2017-03-01,307.421
2017-04-01,308.148
2017-05-01,308.891
2017-06-01,309.723
2017-07-01,310.138
2017-08-01,311.481
2017-09-01,312.378
2017-10-01,313.477
2017-11-01,314.181
2017-12-01,315.168
2018-01-01,315.973
2018-02-01,316.621
2018-03-01,317.720
2018-04-01,318.647
2018-05-01,319.816
2018-06-01,320.246
2018-07-01,321.071
2018-08-01,322.076
2018-09-01,322.715
2018-10-01,323.519
2018-11-01,324.439
2018-12-01,325.281
2019-01-01,326.230
2019-02-01,327.375
2019-03-01,328.507
2019-04-01,329.698
2019-05-01,330.622
2019-06-01,331.542
2019-07-01,332.336
2019-08-01,332.998
2019-09-01,334.179
2019-10-01,334.507
2019-11-01,335.324
2019-12-01,335.936
2020-01-01,337.184
2020-02-01,338.343
2020-03-01,338.521
2020-04-01,338.405
2020-05-01,339.172
2020-06-01,339.479
2020-07-01,340.167
2020-08-01,340.737
2020-09-01,341.108
2020-10-01,341.433
2020-11-01,341.831
2020-12-01,342.183
2021-01-01,342.671
2021-02-01,343.389
2021-03-01,344.338
2021-04-01,345.643
2021-05-01,346.762
2021-06-01,348.325
2021-07-01,349.873
2021-08-01,350.538
2021-09-01,351.997
2021-10-01,353.487
2021-11-01,355.110
2021-12-01,356.499
2022-01-01,357.855
2022-02-01,359.871
2022-03-01,361.754
2022-04-01,363.634
2022-05-01,365.903
2022-06-01,368.072
2022-07-01,370.011
2022-08-01,372.642
2022-09-01,375.493
2022-10-01,378.211
